 minimum eigenvalues =   1.073564306029724E-011  0.874568058651315     
  0.902020517071802     
 maximum eigenvalues =    2164.41327968012        600.794189933891     
   511.050078064555     
 num eigs kept =           63
 minimum eigenvalues =   1.073564306029724E-011  0.874568058651315     
  0.902020517071802     
 maximum eigenvalues =    2164.41327968012        600.794189933891     
   511.050078064555     
 num eigs kept =           63
 iter    40 lrate =  0.0500000000 LL =  -2.4920682536 nd =  0.0031931918, D =   0.21517E-01  0.21517E-01  (  1.77 s,   1.0 h)
 iter    41 lrate =  0.0500000000 LL =  -2.4920258418 nd =  0.0031792798, D =   0.21512E-01  0.21512E-01  (  5.11 s,   2.8 h)
 iter    42 lrate =  0.0500000000 LL =  -2.4919839935 nd =  0.0031653011, D =   0.21498E-01  0.21498E-01  (  1.78 s,   1.0 h)
 iter    43 lrate =  0.0500000000 LL =  -2.4919428623 nd =  0.0031510623, D =   0.21474E-01  0.21474E-01  (  1.60 s,   0.9 h)
 iter    44 lrate =  0.0500000000 LL =  -2.4919024282 nd =  0.0031371477, D =   0.21442E-01  0.21442E-01  (  1.70 s,   0.9 h)
 iter    45 lrate =  0.0500000000 LL =  -2.4918625563 nd =  0.0031232448, D =   0.21402E-01  0.21402E-01  (  1.72 s,   0.9 h)
 iter    46 lrate =  0.0500000000 LL =  -2.4918233047 nd =  0.0031095318, D =   0.21355E-01  0.21355E-01  (  1.64 s,   0.9 h)
 iter    47 lrate =  0.0500000000 LL =  -2.4917849984 nd =  0.0030958815, D =   0.21301E-01  0.21301E-01  (  1.63 s,   0.9 h)
 iter    48 lrate =  0.0500000000 LL =  -2.4917472118 nd =  0.0030822562, D =   0.21242E-01  0.21242E-01  (  1.77 s,   1.0 h)
 iter    49 lrate =  0.0500000000 LL =  -2.4917099345 nd =  0.0030684697, D =   0.21178E-01  0.21178E-01  (  1.70 s,   0.9 h)
 iter    50 lrate =  0.0500000000 LL =  -2.4916730997 nd =  0.0030100893, D =   0.21109E-01  0.21109E-01  (  1.81 s,   1.0 h)
 iter    51 lrate =  0.1000000000 LL =  -2.4916097656 nd =  0.0029896078, D =   0.20785E-01  0.20785E-01  (  1.80 s,   1.0 h)
 iter    52 lrate =  0.2000000000 LL =  -2.4914930704 nd =  0.0029420346, D =   0.20175E-01  0.20175E-01  (  1.82 s,   1.0 h)
 iter    53 lrate =  0.3000000000 LL =  -2.4913278752 nd =  0.0028708281, D =   0.19343E-01  0.19343E-01  (  2.09 s,   1.1 h)
 iter    54 lrate =  0.4000000000 LL =  -2.4911212986 nd =  0.0027803871, D =   0.18368E-01  0.18368E-01  (  1.93 s,   1.0 h)
 iter    55 lrate =  0.5000000000 LL =  -2.4908814513 nd =  0.0026737765, D =   0.17316E-01  0.17316E-01  (  1.74 s,   0.9 h)
 iter    56 lrate =  0.6000000000 LL =  -2.4906166930 nd =  0.0025612272, D =   0.16247E-01  0.16247E-01  (  1.67 s,   0.9 h)
 iter    57 lrate =  0.7000000000 LL =  -2.4903346224 nd =  0.0024444965, D =   0.15199E-01  0.15199E-01  (  1.55 s,   0.8 h)
 iter    58 lrate =  0.8000000000 LL =  -2.4900420107 nd =  0.0023276467, D =   0.14203E-01  0.14203E-01  (  1.59 s,   0.9 h)
 iter    59 lrate =  0.9000000000 LL =  -2.4897444137 nd =  0.0022126929, D =   0.13272E-01  0.13272E-01  (  1.62 s,   0.9 h)
 iter    60 lrate =  1.0000000000 LL =  -2.4894455696 nd =  0.0021073545, D =   0.12423E-01  0.12423E-01  (  1.96 s,   1.1 h)
 iter    61 lrate =  1.0000000000 LL =  -2.4891727237 nd =  0.0020150605, D =   0.11717E-01  0.11717E-01  (  3.95 s,   2.1 h)
 iter    62 lrate =  1.0000000000 LL =  -2.4889220863 nd =  0.0019307768, D =   0.11120E-01  0.11120E-01  (  2.01 s,   1.1 h)
 iter    63 lrate =  1.0000000000 LL =  -2.4886909514 nd =  0.0018528729, D =   0.10613E-01  0.10613E-01  (  1.90 s,   1.0 h)
 iter    64 lrate =  1.0000000000 LL =  -2.4884769070 nd =  0.0017824671, D =   0.10176E-01  0.10176E-01  (  1.88 s,   1.0 h)
 iter    65 lrate =  1.0000000000 LL =  -2.4882780431 nd =  0.0017121716, D =   0.98139E-02  0.98139E-02  (  1.74 s,   0.9 h)
 iter    66 lrate =  1.0000000000 LL =  -2.4880934411 nd =  0.0016496181, D =   0.95106E-02  0.95106E-02  (  1.58 s,   0.8 h)
 iter    67 lrate =  1.0000000000 LL =  -2.4879213206 nd =  0.0015906374, D =   0.92613E-02  0.92613E-02  (  1.59 s,   0.9 h)
 iter    68 lrate =  1.0000000000 LL =  -2.4877601853 nd =  0.0015412847, D =   0.90576E-02  0.90576E-02  (  1.59 s,   0.9 h)
 iter    69 lrate =  1.0000000000 LL =  -2.4876076839 nd =  0.0015027233, D =   0.88983E-02  0.88983E-02  (  1.60 s,   0.9 h)
 iter    70 lrate =  1.0000000000 LL =  -2.4874614522 nd =  0.0014753348, D =   0.87745E-02  0.87745E-02  (  1.58 s,   0.8 h)
 iter    71 lrate =  1.0000000000 LL =  -2.4873187378 nd =  0.0014639557, D =   0.86816E-02  0.86816E-02  (  1.65 s,   0.9 h)
 iter    72 lrate =  1.0000000000 LL =  -2.4871763092 nd =  0.0014696165, D =   0.86115E-02  0.86115E-02  (  1.63 s,   0.9 h)
 iter    73 lrate =  1.0000000000 LL =  -2.4870307240 nd =  0.0014901307, D =   0.85546E-02  0.85546E-02  (  1.62 s,   0.9 h)
 iter    74 lrate =  1.0000000000 LL =  -2.4868786495 nd =  0.0015224385, D =   0.85051E-02  0.85051E-02  (  1.64 s,   0.9 h)
 iter    75 lrate =  1.0000000000 LL =  -2.4867175202 nd =  0.0015592974, D =   0.84432E-02  0.84432E-02  (  1.64 s,   0.9 h)
 iter    76 lrate =  1.0000000000 LL =  -2.4865458704 nd =  0.0015936138, D =   0.83550E-02  0.83550E-02  (  1.60 s,   0.9 h)
